name,degree,ecc,clos,betw,eigen,hub,trans,PR,triangles_numb,motif1,motif2,motif3,motif5,strength
ENSG00000000003,21,5,2.64694656185444e-06,0.0,8.71311943526213e-06,8.71311943522813e-06,0.133333333333333,2.98303555478052e-05,28,25949,45884,37978,5497,3006.0
ENSG00000000419,235,4,1.06938146975789e-05,1524.4785030017,0.0025294893797514,0.002529489379751,0.187670485542826,0.0001577356837213,5160,42005,71789,135870,85767,41245.0
ENSG00000000457,20,4,3.4613837643103e-06,0.0,8.89937204130533e-05,8.8993720413018e-05,0.394736842105263,1.96014614888886e-05,75,1520,6093,5131,784,488.0
ENSG00000000938,523,4,1.05531875375296e-05,1770.14547730029,0.0047127309728703,0.0047127309728694,0.332849827476319,0.0001034226836169,45435,20319,41271,52040,4520,8090.9
ENSG00000001036,63,5,1.06181910849668e-05,860.687332731203,0.0191617880080329,0.0191617880080326,0.582181259600614,4.80990436261619e-05,1137,7993,10340,6044,557,749.5
ENSG00000001084,275,5,1.12613500331647e-05,1854.07306678668,0.0074132271863235,0.007413227186323,0.403317850033179,0.0001017345410054,15195,68,1782,3548,23,514.1
ENSG00000001167,199,4,1.13322152214315e-05,4202.02980209045,0.0004846979678018,0.0004846979678015,0.224303334856099,8.70849105569834e-05,4419,11463,16339,21458,1527,1449.4
ENSG00000001461,4,5,3.36348360032698e-06,0.0,4.14764401988041e-06,4.14764401987369e-06,0.166666666666667,1.39739498793598e-05,1,104590,141490,206440,49243,23587.0
ENSG00000001497,74,4,1.04192063482141e-05,434.212391082192,0.0002138318726449,0.0002138318726447,0.202887819326176,4.16663934664989e-05,548,865,3480,4729,711,515.8
ENSG00000001561,8,5,1.12467468784654e-05,0.0,3.11727508229495e-06,3.11727508228167e-06,0.214285714285714,1.63946370280702e-05,6,45749,33099,16160,5707,1134.9
ENSG00000001617,47,5,5.15448772896874e-06,0.0,2.92181892860884e-05,2.921818928601e-05,0.219241443108233,3.06486995393835e-05,237,94296,265690,232130,69193,11168.0
ENSG00000001629,10,5,2.22176207061111e-06,0.0,2.7978352690309e-05,2.79783526902901e-05,0.444444444444444,1.87931139946978e-05,20,11756,40372,51240,5366,3094.4
ENSG00000001630,969,4,9.89040442852749e-06,6.13526262123806,0.0440756076201399,0.0440756076201382,0.329627544797823,0.0002525472632605,154594,2559,21473,36783,12108,8571.7
ENSG00000001631,71,4,3.06338480126136e-06,0.0,0.0002281049466961,0.000228104946696,0.110261569416499,4.35098268268237e-05,274,3751,8823,15946,435,2905.8
ENSG00000002016,96,4,1.13091979969149e-05,173.993312305016,0.0026168251231044,0.0026168251231042,0.245614035087719,4.90622539289261e-05,1120,222,2216,4557,51,346.8
ENSG00000002330,271,4,1.14163852527702e-05,2219.29583238569,0.0011703371817165,0.0011703371817161,0.279513461801285,0.0001350441274911,10226,25370,50807,56606,4921,1705.6
ENSG00000002549,364,4,1.15348103273464e-05,14498.0957321079,0.0318895719608086,0.0318895719608077,0.429010383555838,0.0001829836014528,28343,12,197,230,0,9.0
ENSG00000002586,29,5,5.33218442532945e-06,0.0,0.0002145139953668,0.0002145139953668,0.0862068965517241,2.46796727728043e-05,35,8824,17100,25042,1417,1511.2
ENSG00000002587,13,5,5.76595193848441e-06,0.0,4.17861458425477e-05,4.17861458425233e-05,0.41025641025641,2.31924927657589e-05,32,87715,234850,265100,85799,3435.7
ENSG00000002726,302,4,9.97190913197524e-06,0.0,0.0483143779429222,0.0483143779429212,0.703548876812391,0.0001234055760119,31977,0,66,43,0,22.7
ENSG00000002746,123,4,9.73962097291025e-06,0.0,0.00052746061054,0.0005274606105398,0.215113954418233,7.76297703220844e-05,1614,3070,3037,3478,293,244.8
ENSG00000002834,192,5,1.14098983149862e-05,1598.74315111203,0.0004220113603316,0.0004220113603312,0.156086387434555,0.0001153463040078,2862,5811,13686,15992,2903,2197.5
